Date,ACS,ACX,AMS,ANA,BBVA,BKT,CABK,COL,ELE,ENG,FDR,FER,GRF,IAG,IBE,IDR,ITX,LOG,MAP,MRL,MTS,NTGY,RED,REP,ROVI,SAB,SAN,SCYR,SLR,TEF
2015-01-02,-1.1102230246251563e-16,0.0127644213608193,-0.0072771051005317,0.0049200376887994,-0.0098003130895613,0.0158652100086572,0.0201574909137583,0.0374709381102243,-0.0148196451945078,-0.0153142204347787,0.0033277869243214,-0.0085237225574629,-0.004920636470485,-0.005776828226229,-0.0092493667466624,0.0179233757150526,-0.0089987068789998,0.016150046676643,-1.1102230246251563e-16,0.0009808727432178,-0.0176041795953692,0.0054951645691512,-0.001368904733485,-0.0114943990259781,-0.0224289791843711,0.0326020547014914,-0.0076509298951532,-0.0290811425150085,0.0068259584050776,-0.0096295934453599
2015-01-05,-0.0156361922702613,-0.0083682891048284,-0.0087699570353389,-0.0265438743360163,-0.0370653095614409,-0.0395473837772977,-0.0396978443239561,0.0053144027775176,-0.0244340403379749,-0.0204691438555926,-0.0201348890767313,-0.0027611661808317,-0.0048639662533714,0.0229454189840053,-0.009779125816976,-0.0218594747944385,-0.0219505364265031,-0.0393101345095098,-0.0340962600791391,0.0098521861379047,-0.035019752994905,-0.0396527470278701,-0.0210562796959825,-0.0508668961067041,-0.0119285595568827,-0.034401245324072,-0.0400228005375878,-0.0435934878361907,0.0,-0.0249368151381085
2015-01-06,-0.0224252918756932,-0.0120629185221073,0.0070780272815564,-0.0227841800085805,-0.0232151716891672,-0.0321719360976204,-0.0219167333340301,-0.0107143777204715,-0.00798343680514,-0.0151578918436515,-0.0309835983637205,-0.012349694882839,-0.0275508130149958,-0.0380371908365748,-0.0114452564373566,-0.0226140672363444,-0.0168218158726686,0.0017517539835426,-0.0076909035309394,-0.0049381729035004,-0.0052927958191155,-0.0140529632101713,-0.0115962765465569,-0.0057990979070689,-0.0110609126452946,-0.032112679776098,-0.0220515083637246,-0.0040985518146163,-0.0067340256943521,-0.015274099698218
2015-01-07,-0.0007099591813122,-0.0137265032203712,-0.0073710924161568,0.0016488077556444,-0.0073328544833898,-0.0154171981206991,-0.0145015900451801,0.0267633490367162,0.0,0.0059964047943651,-0.0068027407026959,0.0003087331030402,-0.0057529934693054,-0.006330605509528,-0.0049274577545214,-0.0184706841294165,0.005897071669843,-0.0110820929769955,0.0098200280147125,0.0352285728958703,-0.0090820311274286,-0.0116487238139573,-0.0138165982410818,2.2204460492503126e-16,0.0219569966132886,-0.0280655485560555,-0.0022581997249167,-0.0091945990909987,0.0068728725305045,-0.0043859739843912
2015-01-08,0.0061023104867733,-0.0008032312909801,-0.0025968974793414,0.0316644641044913,-0.0075143301790986,-0.0020020588126442,-0.0070522648115641,0.0069930290783426,0.0066068853033894,-0.0039596322182844,-0.0339590889202197,0.0042708849196544,0.0001539856293693,-0.0289404435605088,0.0061184139707239,0.0058044332166501,0.0254089622483508,-0.0177309157967487,0.0078124815282443,0.0139057565427324,0.0298191728500122,0.0150149188425957,0.008923642299961,0.0073309631562313,-0.0088713444388759,-0.0115926092183077,0.0111469396908324,0.0177693957452161,0.0134230074446499,0.0107829013116583
2015-01-09,-0.0038514922467828,0.0147973440847923,0.0089347754017575,-0.0033649627233772,-0.0244293457166625,-0.0037404958080849,-0.0071787179987832,0.0035460995589583,0.0024813293415312,0.0031771244265476,0.0034542314543865,0.0006095842337263,-0.0061909173543932,-0.0113033770188903,-0.0039855692035623,-0.0112594962865035,-0.0181554623697628,-0.0029894931633697,-0.0107105527272446,-0.0019083967374528,-0.0198966438457478,-0.0112245729388202,0.0045849588906509,-0.0362321568651181,0.0009847592272712,-0.0132828598592682,-0.0466049916845281,-0.0088626927076869,-0.0066889817502978,-0.0226392011235284
2015-01-12,-0.0101880456904093,-0.0099187482788879,0.0135670515171711,0.0033589464077379,-0.0037884438009927,-0.0066724731356382,-0.0062097224007066,-0.0088574876529361,0.004606110054374,-0.0125213016501604,0.0136988309355821,0.0087495176220252,0.0003094241631615,-0.0039987940681915,-0.0065135479234218,-0.0277579101932509,-0.0012692525083014,-0.0101888847890972,-0.006835807641727,-0.0052669479860535,-0.0298668286048159,-0.0358553530753138,-0.0102480539949798,-0.0168591565194489,0.0209066894510492,-0.0047390769787703,0.0082987094414335,0.0131557823319988,0.0,0.0078774216709553
2015-01-13,0.0395816074015287,0.0238769949872254,0.0022214230677226,0.0411351226289832,0.0153538160059925,0.0282141635106379,0.0014447490578456,0.0300110920887897,-0.0009244367956036,0.029587956740188,0.0,0.0366797018588589,0.0166696531051066,0.0477286881637906,0.0085183898848289,0.032196208677022,0.030887253771721,0.0107463902954599,0.0246485073895273,0.0038167969500814,0.0025939924783618,0.0225018922319005,0.0069473669945421,0.0231724038456315,0.0019626604903779,0.0593413786726394,0.0218633643796653,0.0221176820786107,0.0133335181532424,0.0281586428076611
2015-01-14,0.0080708248349023,-0.041205103568742,0.0056826421724707,0.0260422535577509,0.0023008363109756,0.0046153264344167,-0.004399940264231,-0.0213531045399445,0.0126760038966149,0.0189033670549557,0.0068728725305045,0.0195484559386112,0.0106179721099159,0.0016034800502063,0.0020093451863112,-0.0259451323677845,0.020144556840154,0.0184584801243549,-0.0032194852338437,0.008624974366374,-0.0485816048833273,-0.0160382197537588,0.0118493907005283,-0.0027797072953467,0.0048900039936882,0.0221677199567605,-0.0013438793697231,-0.006363089822252,-0.0066889817502978,0.0047526159071042
2015-01-15,0.0171634398732875,-0.0087010734359053,0.0041395502906372,0.0095183103315952,-0.0001335284153413,0.0092431416652384,0.0019379601420238,-0.0179537867087847,0.0048602722358492,-0.0007669626669853,-0.0017226105775095,0.0159457068796744,0.0083189327901741,0.0112924707566435,0.0029001780269291,0.0138396925849559,-0.0180513852831622,-0.0142266639412032,0.0085076477695942,-0.0057306723395255,0.0029571171761074,0.0203555771920601,0.0019281012511103,0.0053962980687077,0.0193804327434749,0.0048422968665368,-0.0001658745399096,0.0246929328349344,0.1007139562197435,0.0068085402933029
