Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2025-01-02,-0.0206183958351547,0.0043563250463112,-0.0022013833098726,-0.0121952693822044,-0.0152125209462119,-0.0043751735201141,-0.0136672938791611,-0.0111227087085798,-0.0167619919206785,-0.0081854501510123,-0.0178584142826446,-0.0052470997294921,-0.0367852461753569,0.0033925516053433,0.0021985886213191,-0.0131869895628395,-0.0123084248384941,-0.0024621783129162,-0.0141967172181801,-0.0158287574667843,-0.0056163850637907,-0.0101038224111693,-0.0071924330130021,0.0007996984664744,-0.00568828145676,-0.0169426782017323,-0.0028723849296507,-0.0199267619160719,0.0084193041636395,-0.018715146222272,-0.0045153054470827,-0.0079094180687291,-0.0061026879441656,-0.026013270647537,-0.0261250857848775,-0.0147936150574717,0.0039820454976751,-0.0080217827791602,-0.0372571659004425,-0.0044750776185994,-0.0064197298136549,-0.0075199213828148,-0.009403247510524,-0.0068494486696706,-0.0085114822122264,-0.0004944489180963,-0.0225603075411781,0.0054343272392655,-0.0083664547146605,-0.0038259972332687,-0.0082132409066188,-0.0157622830900625,-0.0032335745727307,-0.007622512727205,-0.0052095364458815,-0.012913915531627,0.0053474144488639,-0.0083682496705165,-0.001868130839997,-0.0057306896356558,0.0160143710501761,-0.0045386158916193,0.0009526386982451,-0.0111307303829085,-0.0137691964126431,-0.0164674494647024,-0.0119379624233232,-0.0098417556854999,-0.0344217796476205,-0.0180279835621901,0.016842639248867,-0.0148859748962671,-0.0176189721643728,-0.0052473654154934,-0.01263225502922,-0.001979854374699,-0.0088773960246249,-0.0082410893971438,0.0067493736846653,-0.0072865109711736,-0.0097006100810727,0.0059532515964612,0.0,0.0105518853198316,0.0065276105722387,-0.0119989393130265,-0.0281284167832508,-0.0125975586258275,-0.0068937670190607,-0.0037464675818632,-0.025269353966223,-0.0066639082877207,-0.0106932744770407,0.0044865556307596,-0.0041231437323629,0.0002222096096867,-0.0089986342844524
2025-01-03,0.0,0.0086455733453284,-0.000965892056375,0.0109399572872125,0.0026045806490726,-0.0035646067512162,0.0301213052630223,0.0046813378069318,0.0072015790058094,0.0075218977708985,-0.0044621573479627,0.0079502008084955,-0.0087899778001819,0.0013399147241632,-0.0010393898530372,-0.0068951631653046,-0.0013117631056827,0.0040740388038398,0.001691609494237,0.0060658384237077,-0.0045376209205549,0.0013281803969957,0.0023859994368642,0.004660100579984,0.002457795402984,0.0024059794853493,0.0003398548483691,0.0232080085235168,0.0020990076295435,0.005676672646968,0.0204773331109024,-0.0018873782479936,-0.0026870613117301,0.0067466366106981,-0.0006921638790267,0.0083500723170226,0.0160622799612117,-0.0084967695646498,0.0052290320863769,0.0020992285521407,0.002192287033461,-0.0014985320788092,-0.0016431701988221,0.0023867559496998,0.0094765639666783,0.0083028599589034,0.0027487731044289,0.0144512684106891,0.000832547839127,-0.0025042631173405,-0.0024262288331728,-0.0063882430617338,0.0048841524493958,0.0008305176505515,0.0014498617803124,-0.0022417005984754,0.0066371212676148,-0.0003340647681529,0.0055744579998322,0.0004866883682355,-0.0002149924866893,0.0013098447312652,0.0058506830103428,-0.0020152863788384,0.0023053463125833,0.0053764670111449,0.000972826103461,-0.0136177705090395,-0.0082864106296717,0.0135674947197432,0.0313580725950671,-0.0022820838631969,-0.0087157520213344,-0.0041283829872421,-0.0067596074915611,0.0041883567111498,0.015387398012498,-0.0037041890520455,0.0019461602197255,0.0029592917864517,0.0006076074416276,0.0115390530454391,-0.010094426017275,-0.0138952739197755,0.0145789204119754,-0.0092672871101667,0.0731713074323386,0.0083281204749624,0.0130477033385293,0.00732700358106,-0.0013723365943508,0.0173414779955614,0.0023208485852629,-0.0014892376733052,0.0135537739331148,0.0069640170061642,-0.0012971315564
2025-01-06,0.0028203098330875,-0.0037685295463389,-0.0041492111115866,-0.0042037469798114,-0.0016221638414787,-0.0082451816611966,0.0037119809715291,-0.00177726447052,-0.0072410719661372,0.0036532615387305,-0.00038060661978,-0.0080501998331679,-0.0158014280552646,0.0053004027543364,0.0017983228018225,-0.0066744762233166,-0.0126670624455328,0.0065492565520922,0.0070358916524447,-0.0076586472436792,-0.0239289373505599,0.0040090399485228,-0.0079240113675445,-0.015481158454852,0.0051394334832585,-0.0105034154949139,-0.0023793245297798,-0.0056583857590336,-0.0077115949663834,-0.0142520227072015,0.0171487345465942,-0.0037749295311177,-0.0091709020261395,-0.0165709337155972,-0.0069473904639148,-0.0166443738295327,-0.004050913912186,0.0052753540088004,0.0144889255653276,0.0142965616483547,0.014788548689647,-0.0027216837276513,-0.0028979334522528,-0.0131716188182061,-0.0014809248669292,-0.0471831528102553,-0.0028910718543151,0.0131398012959883,0.0010447412325403,-0.0117635896907664,-0.011282903097145,-0.0060844503442709,-0.024045263992582,-0.0269929063692099,0.0040122023729763,-0.017504519650766,-0.0037577542922709,-0.0232588180349643,-0.0084809729458051,-0.0070491521800552,0.0295827546137693,-0.0040597048354019,-0.0184503799050315,0.0095723899640092,0.0078823692112868,-0.0003505144521828,-0.0078300901226984,-0.0078732845215793,-0.0240148762038738,-0.0064044172847828,0.0056371961163974,-0.0097297771614707,-0.0225108482308671,0.0067164547373928,-0.0136670222308747,-0.0091317372465643,0.0032583790939858,-0.0189258216978542,0.0117730619274267,-0.0010734595927309,-0.013129824902715,-0.004290992562715,-0.0070546961570183,0.0164311107432518,0.0136823884998794,-0.0050254529400515,-0.0291300774877322,0.0100933979960824,0.0013051574827643,-0.0095194012148821,-0.0039371540278932,-0.0098019888118518,-0.0062734101557458,-0.0170216948838421,0.0013892538321805,0.0065840078408811,-0.0046300667017359
2025-01-07,-0.0031739716655711,-0.0005568888800561,0.0002645744931575,0.0029224414949155,-0.0204690758576968,-0.0026140545639845,-0.0246676541237183,0.0070460440938557,-0.0165691262652949,-0.0257341520716992,-0.0464047053388999,-0.0065344974347403,0.0077979699527834,-0.0043308198249387,-0.0021782079588445,-0.0176310365485516,-0.0303674277472312,0.0080829659142728,-0.0029814525130843,-0.003108125878234,-0.006273938859619,-0.006968708848747,-0.0168455826330924,0.0115745287781554,-0.0026772380208417,-0.0169969073168984,-0.0006785566843846,-0.0117265388164463,0.0072459348510518,-0.0110214252540504,0.0046112263198455,-0.0067997231942264,0.0012178300696559,-0.0155398760436037,0.0034605707175273,0.0034335178677526,0.000522429630258,-0.0028647236541518,-0.032553995315448,-0.0078991626247473,-0.0082526963138493,-0.0119772005733062,-0.017210396974687,-0.0039355515802662,0.0027274193334042,-0.0004996367183779,-0.0128029789348926,-0.0292549754044707,0.0170354911417378,0.0042447109310928,-0.0044280589954654,0.0070619011926053,0.0109089732791875,-0.0037862745936171,-0.0143348436972588,-0.0044484383052922,-0.0152287292034324,0.0082687729142457,-0.0062406590813929,-0.004373192242848,-0.0221041454341027,0.0203918496243412,-0.0160003766461401,0.0088491695199701,-0.0215967286683531,-0.015575223345981,-0.0145185266931621,-0.0002161394952407,-0.0042910328499913,-0.0187483720476947,-0.087992054038968,-0.0216729770299887,-0.0072638763518773,0.004432919458571,-0.0009914714981743,0.003383011297287,-0.0091777632172908,0.0061162669738638,0.0006464557942188,-0.0369507007962128,-0.0002466618118215,-0.0036678326263743,-0.0151992259846489,-0.004871366418208,0.0112978977275839,0.0045312616580944,-0.0286701590534463,-0.0083413718462769,-0.0089052484640374,-0.0019933564712801,-0.0015989525737494,-0.012447882331535,-0.0039067590546157,-0.0200948118166478,-0.0190930662521951,-0.0097529611656535,-0.0017456243972932
2025-01-08,0.0032190147360336,-0.0039138822912377,0.0062338239682556,-0.0090994157093976,0.0053529504106745,-0.0060018367397364,-0.0216773725912233,0.0085142110961288,0.0148425693770922,-0.0047606195234744,-0.0016993071530644,0.0031418370847669,0.003557792274497,0.0067310547598059,0.0006415838892234,0.0131223701264369,0.0059603149013741,-0.0029879302935636,-0.0025900745608635,-0.003814701788587,0.0040098406793427,0.0105478245297926,-0.0017193912094772,0.0061198763522933,0.004745073033086,-0.0025662862619415,0.0052502681852363,0.0078550872203156,0.0151508548971276,-0.0026306503939899,-0.0021816844222668,-0.0112340178720181,0.0155504394427348,-0.0016611045821815,-0.0004364093788952,0.0104185299232182,0.0051610737729431,-0.0171286683334449,-0.0145987994211527,0.0073971799514489,0.0071406161253554,-0.0017569441038538,0.010906397748199,0.0003633884122616,-0.003265613818507,0.002518220329163,0.0154854605415027,0.019845645203844,-0.0223807027898687,0.001564192625642,0.011736033668286,0.0078160410600373,0.0171554813961814,0.0114765158777804,0.0058903627051632,0.0084790021739955,-0.0071891790068425,0.0015451999175629,0.0278391464015983,0.0103162328756022,-0.0043787504554848,0.0187580531781556,0.0017494445084883,-0.0084767248389635,0.0074577174341448,0.0025942943202279,0.0090988261741674,-0.0056980211146377,-0.0037801465517715,-0.0121273931530486,-0.0174754257924079,0.0059019397757973,0.0078098597938745,-0.0070487632691746,0.0068711810190564,0.0082399938454943,-0.006079053633634,0.0085770321805928,-0.0039877484238824,0.0039805270779171,0.0182331544544475,0.0049926653466738,0.0022568795411985,-0.0056273056358481,0.0010097912273561,0.0060035482002268,0.0050514524335939,-0.0007301903375456,0.0192880406255442,0.0094483774134463,0.0067281565765354,-0.0028812407091944,0.0051315253331439,0.0007706816023037,0.0008386575530126,0.0075447564451641,-0.0035474015655265
2025-01-10,-0.0132535111140955,-0.0096015420880919,-0.0129159538084661,-0.0148692906686941,-0.0100010307676266,0.0180340103627636,-0.0182739213568651,0.0055065046316673,-0.0005762829016353,-0.0114442857589092,-0.013241731488759,-0.0240188230049109,0.0029694889134188,-0.0195374315384964,-0.0259143327577733,-0.0145906680596677,-0.024956952139759,-0.0094483057407602,-0.0147367821156051,-0.0192717522923068,-0.0001158123782464,-0.0117568234802485,-0.0214467453972473,-0.0153834388471779,0.0038282858210286,-0.0153603686513691,-0.0008508336420199,0.0336789261811665,-0.0017615680286696,0.0065810531544116,-0.0020398448148976,-0.0123486450459933,-0.0149997979133535,-0.0042304825736447,-0.0138656708829671,-0.0043854047748996,-0.0041267835173975,-0.0034431664884002,-0.0184840864390382,-0.011580458407133,-0.0116997233878521,-0.0286048105816634,0.0025167218298925,-0.0081249089779719,-0.010186845306993,-0.0262834112511185,0.0073896763751389,0.0127019774281454,0.0074895960057551,-0.0133346405110537,-0.0083164299930254,-0.0035190729808319,0.0100137555547771,0.0001068058194928,0.0036370777922894,-0.0146541861092238,-0.0182171109447775,-0.0223266802866007,-0.0164764124172296,-0.0249812879386669,0.009511456879336,-0.0197712072037368,-0.0054891843913738,0.0004031131336646,-0.022902992386608,-0.0134666028095781,-0.0380041469636744,-0.0336986185175411,-0.0090878157318652,-0.014110824457356,-0.0112672634962168,-0.0299671579031494,-0.0164097731446544,-0.0055981308898656,-0.0099777827596107,-0.0240365648032401,-0.0045760931352527,-0.0063216987945886,0.0006505916278011,0.0117493715244977,-0.0119791597565509,-0.0081556660063222,-0.008721589736512,0.0205456621949783,0.0010146721824973,-0.0062746499177191,0.0084972562186615,-0.0144105756074676,-0.0113623712177499,-0.0159023702168391,-0.0139355700809627,-0.0107064803354254,-0.011278078311885,-0.009738172066999,-0.0133468179956845,0.0054989856839681,-0.020071255969988
2025-01-13,0.0037184883776119,0.0089798943299166,0.0052261420591594,0.0115518580547509,0.0104089699071872,0.0112144448706923,0.0175413004057859,0.0303612171631021,0.0129694579005107,0.0018327190658977,0.0238063156441714,0.0152664367690637,-0.0035697790743665,-0.0008872471943567,0.0126935337952084,0.0113171544582755,0.0092150171041158,-0.0057636991725004,0.0249055417158324,0.0266697624389129,0.0049490843202435,-0.0016446263711417,0.0272634639223593,0.0214311883680929,-0.0100070644441777,0.0141085273788645,-0.002719237776575,0.0229715018221316,0.0080788931942904,0.052284185131063,0.020340548201958,0.0013888389288146,-0.0031042951424353,0.014796169847892,0.0224281487792329,0.0164041854384168,0.0120794995604655,-0.0039946857313131,0.0179857203276433,0.004900370478334,0.0049332900414593,0.009046941690245,-0.0020791300182158,0.0065480591787156,-0.0022513988729354,0.0146907511139831,-0.011608486910809,-0.0067396725256743,0.0103671515336398,0.0187655688491509,0.0084704928475422,0.0134733270621639,0.0038695880197465,0.0297451008702942,0.0023352340790699,0.0077741017390239,0.0024357194119684,-0.0023117476484268,0.0108175268592522,0.0230946070825458,0.0020240440523106,0.0291733676640069,-0.0041213462218531,0.015166966592706,0.0124981414870008,0.0046851165650835,-0.0038754279483099,0.0104796864729571,0.0127052831198929,0.0045488791894332,0.0246193592255244,0.0011700753700453,0.0119045351294533,0.0056127227511279,-0.0032056959582059,0.0046898661496815,0.0122300459866911,0.0272055004954793,0.013349380083469,0.0063510735630133,0.0015892049347706,0.012578803444333,-0.003241479895422,-0.0126030632552378,0.0206245861702239,0.0100285914999018,0.0511223714647987,0.0066155576407516,0.0113365830862946,0.01345221664305,0.0134490113187757,0.0177216870019612,0.0062753944520009,0.0047331224557109,0.0089724628432952,-0.0064253307077041,0.0199618834290035
2025-01-14,-0.0062816745008599,-0.0060199951657865,-0.0047665456063711,-0.0063410703154911,0.0133178989544375,0.0244033596283919,-0.0163189036611543,-0.0167440169591502,0.0107963156529931,-0.0122320464128015,-0.0082878146660715,0.0025334344468013,-0.0257113418743314,0.0039396048017866,-0.0003949546305529,-0.0006317609675731,-0.0011932871831784,0.0043150314138419,0.0024519874095313,0.0164983991072091,0.0052607519738014,-0.0068484250204074,0.0123650254987238,0.0144053200675258,-0.0076784436663558,-0.0045024020174773,0.0060862504199358,0.0013582944754771,0.0108295389185544,0.0037310974405227,-0.0148293329342842,-0.0051660405548324,0.0064785429645029,0.0031772371723518,0.0094821568922768,0.0060533105222361,0.0214312284841925,0.0045157152607497,0.0100622004522123,-0.0075609638613221,-0.0082961977174368,0.003277382070006,0.0055912484787163,-0.008385838853695,-0.0011474470564767,-0.0082987946046891,0.0142075167983626,-0.0007420501961429,0.0017286089006179,0.0196280657582302,0.0061439330820488,0.0117943613817986,-0.0514389501076474,-0.0011140399924314,0.0047087395133206,0.0038382113599903,-0.0121427633519731,0.0174900292983924,0.0220597253839739,0.0220717132279879,-0.0180440596816075,0.0190566895529197,0.0078186779671972,-0.0160274256670658,-0.0062395112111811,-0.005135069359973,0.0148194761646588,-0.0177080888534304,-0.012566509118635,-0.0030111475903397,-0.0320404434817004,-0.0007034861790739,0.0052569430633737,-0.0150322117963926,0.0055871287387351,0.0058413071184088,-0.003816444172091,0.005960636163433,-0.0100492873952706,-0.0057892071095019,0.0006096074657257,-0.0004031684860709,0.0129271782326905,-0.0271078072895809,-0.0009152344223723,0.00350787303742,-0.0443640317460347,0.010180883428401,0.0075503469571788,0.0024006604301333,0.0037418426129652,0.0051088287879144,0.0011005968348635,-0.0013053924673039,-0.0037854463735064,-0.0117165280743379,0.0085122503464852
2025-01-15,0.0136718633572157,-0.012584607200131,-0.0094065916606135,-0.007463557473703,-0.0105367333268545,-0.0087205811538896,0.0202945453014321,-0.0014490282090995,-0.0204743854968046,0.0023309180091136,-0.0024093891760047,0.0237165500683236,-0.0167659882087427,-0.0004245480495588,0.0364940888806002,-0.0045633793185544,-0.0064832385437509,-0.003927195674035,0.0268029222843134,-0.011272879968976,-0.0068058165960625,-0.0073699823793025,-0.0025664830372026,0.0043706170653893,-0.0040632117820067,-0.0267895140476984,0.0020026530680541,0.0063491894663527,0.0092002610655458,-0.0209961014132158,-0.00423522810777,-0.0091097742553891,-0.0153813478586981,-0.0111208236102534,-0.0140374729157973,-0.005397121359984,0.0067897965647471,0.0112122091507493,-0.0096247132328586,0.0134414903487408,0.0126597343189148,0.013157181998067,-0.0013780487091639,-0.0010926453312987,-0.003810375894043,0.0163602679488424,-0.0037743077705389,0.0441595376934858,-0.0023425416480496,0.0077574221220976,-0.0090250630789542,-0.0121691937423843,-0.0030219309509142,-0.0078005777741608,-0.0043143993768191,0.0130647156055736,-0.0071651961814449,-0.0121086402496648,0.0174821763929672,-0.0024695618460266,0.0112602903215371,-0.003116114887973,0.0037295644868651,-9.992643486691635e-05,0.0064550774081199,0.0169856294477494,0.000288745279336,0.0140323932673463,-0.0128618882624353,0.0007782023239356,0.0191936797571707,-0.0022714415419744,-0.0048920530500358,-0.0113767304310348,-0.0058706293391176,0.0038890738431752,0.0141498639026253,-0.008861495853128,-0.010898672269901,-0.0037940257939244,-0.0067781086812108,-0.0279039840617497,-0.0031897815060307,-0.039140624620116,-0.0115565072528341,-0.0090161992847352,0.0437238724416393,0.0093596307265494,0.0116982187101541,-0.0092269847351175,-0.0002353122272555,0.0088801916121485,0.0082545587084186,-0.0031380499758288,0.0077985504933855,0.0029603294349655,0.0131794564314514
2025-01-16,-0.0390505646525092,0.0130379945686958,0.0256983600361495,0.0041448520541337,0.0206363699277889,0.0225003215287434,-0.0150832038319194,0.0018946016339302,0.0488954326312424,-0.016896216149344,-0.0250104399251065,-0.0039091375211503,0.0127488887424396,-0.0076890727542618,0.00646460475843,0.009753519182223,-0.0206938972513697,0.0096240434441896,0.0086990479221925,0.0112042773359301,0.0108992803089232,-0.005766817044717,-0.0081918013216382,0.0039848075770076,-0.0053998879058894,-0.0091455592196403,-0.0060000281727148,0.0102525084619163,0.0085064379093853,0.0165789576966761,0.0174308767509102,-0.017043502949811,0.0275161358735944,0.0222258630596127,0.0027798960515427,0.0105828508337431,-0.0107354646915108,-0.0066337103494414,0.0034782702734591,-0.0072520377996043,-0.0063557672568968,0.0049060590774374,0.0075037077197212,0.0121531008156599,0.0134284878936042,-0.0040588550674674,-0.0260865074610945,0.0025371863872789,0.0236239327642885,0.0010624443527629,0.0134230501441678,0.0106228885352748,0.0134212043814952,0.0104475124892303,0.0076807508900238,-0.0009170784094004,-0.0017857786003588,0.0299260948060085,0.0200482213565993,0.0124181252672998,-0.0003271380615173,0.008296962800893,0.0050950201936283,0.0025852108225808,0.0258068573497604,-0.0096569887005291,0.0343510383874512,-0.0218287116857326,0.0029575274189837,-0.0013044654596918,-0.0372549011816079,-0.0038162055435979,0.0171379001999373,0.015982078404271,0.0054979827124381,0.0080456913761746,-0.0239929095419334,0.0092574000153848,0.0166581271443476,0.0254842317437219,0.0215684117098172,0.0040031522691375,0.0009086987247587,0.0361424955547476,0.0190331791699489,0.010998855410267,-0.0230987636322668,-0.0407857187105794,-0.037970207276513,0.0197779617473304,0.0033147684205896,0.0029190886516488,0.0047393453638965,0.0054923397154245,0.0013175031831557,-0.0021881512549475,0.0011684622440375
